Institution	Code	Course	EOS	Mid
"UNIVERSITY OF LIMERICK"	LM064	Industrial Biochemistry                                     	375	460
"UNIVERSITY OF LIMERICK"	LM065	Applied Physics                                             	355	420
"UNIVERSITY OF LIMERICK"	LM066	Environmental Science                                       	350	390
"UNIVERSITY OF LIMERICK"	LM067	Wood Science and Technology                                 	315	355
"UNIVERSITY OF LIMERICK"	LM068	Food Science and Health                                     	415	440
"UNIVERSITY OF LIMERICK"	LM071	Biomedical Engineering                                      	415	485
"UNIVERSITY OF LIMERICK"	LM073	Mechanical Engineering                                      	420	485
"UNIVERSITY OF LIMERICK"	LM076	Product Design and Technology                               	400	450
"UNIVERSITY OF LIMERICK"	LM077	Aeronautical Engineering                                    	390	460
"UNIVERSITY OF LIMERICK"	LM080	Electronics                                                 	305	380
"UNIVERSITY OF LIMERICK"	LM082	Construction Management and Engineering                     	310	380
"UNIVERSITY OF LIMERICK"	LM083	Mobile Communications and Security                          	370	380
"UNIVERSITY OF LIMERICK"	LM085	Civil Engineering                                           	450	520
"UNIVERSITY OF LIMERICK"	LM087	Energy                                                      	380	405
"UNIVERSITY OF LIMERICK"	LM088	Mathematics and Physics                                     	480	560
"UNIVERSITY OF LIMERICK"	LM089	Sport and Exercise Sciences                                 	470	490
"UNIVERSITY OF LIMERICK"	LM090	Physical Education with concurrent Teacher Education        	485*	505
"UNIVERSITY OF LIMERICK"	LM092	Science with concurrent Teacher Ed (Biol Sci with Phys or Chem)	440*	485
"UNIVERSITY OF LIMERICK"	LM093	Equine Science                                              	350	380
"UNIVERSITY OF LIMERICK"	LM094	Materials and Architectural Tech with concurrent Teacher Ed	425	450
"UNIVERSITY OF LIMERICK"	LM095	Materials and Engineering Tech with concurrent Teacher Ed	395	410
"UNIVERSITY OF LIMERICK"	LM096	Science with concurrent Teacher Ed (Phys and Chem)	370	410
"UNIVERSITY OF LIMERICK"	LM099	Architecture                                                	#385	455
"UNIVERSITY OF LIMERICK"	LM100	Physiotherapy                                               	555	575
"UNIVERSITY OF LIMERICK"	LM101	Medicine - Graduate Entry                                   	#53*	54
"UNIVERSITY OF LIMERICK"	LM102	Psychology                                                  	510	535
"UNIVERSITY OF LIMERICK"	LM110	Computer Games Development                                  	355	390
"UNIVERSITY OF LIMERICK"	LM113	Digital Media Design                                        	315	375
"UNIVERSITY OF LIMERICK"	LM114	Music Media and Performance Technology                     	310	395
"UNIVERSITY OF LIMERICK"	LM115	Chemical and Biochemical Engineering                        	470	500
"UNIVERSITY OF LIMERICK"	LM116	Engineering Choice                                          	405	485
"UNIVERSITY OF LIMERICK"	LM117	Science Choice                                              	365	420
"UNIVERSITY OF LIMERICK"	LM118	Electronic and Computer Engineering                         	400	480
"UNIVERSITY OF LIMERICK"	LM119	Design and Manufacture                                      	460	495
"UNIVERSITY OF LIMERICK"	LM150	General Nursing                                             	440	465
"UNIVERSITY OF LIMERICK"	LM151	Mature Applicants General Nursing                           	#179	182
"UNIVERSITY OF LIMERICK"	LM152	Mental Health Nursing                                       	415	440
"UNIVERSITY OF LIMERICK"	LM153	Mature Applicants Mental Health Nursing                     	#162	169
"UNIVERSITY OF LIMERICK"	LM154	Intellectual Disability Nursing                             	405	415
"UNIVERSITY OF LIMERICK"	LM155	Mature Applicants Intellectual Disability Nursing           	#158	163
"UNIVERSITY OF LIMERICK"	LM156	Midwifery                                                   	445	460
"UNIVERSITY OF LIMERICK"	LM157	Mature Applicants Midwifery                                 	#182	185
"ST PATRICK'S (PONTIFICAL)-MAYNOOTH"	MU001	Theology and Arts                                           	300	335
"ST PATRICK'S (PONTIFICAL)-MAYNOOTH"	MU002	Theology                                                    	325	325
